Class,Id
0,be193a6abca9c8817001f45744777db30756&0x91e45b670297b1380267537c8b2b4cd691033b9b
1,94033c7623ff1e1b09e87bc39d38d32cc7ab&0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f
0,08f5f8e6bacbe14a4f9b3af6ba3fc6fbf800&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770
0,f8568e08d5659f5d29c4997173d84cdf2607&0xd8cffa8fb1d47033db22ef4dfa50d392be6ed337
1,5e646bd5d9cd2dfce67765ab9448eb1bcff8&0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678
0,5a6e9bcf904eb39da2b68c5efb4f9360e08c&0x3f74aac65b10db90cf50928cdbd37f49b12fbe5d
0,5044ac3c0c57051906da938b54bd6557f212&0xeb9f6d65fdb73036123bdd73a6cfb3b519ef724d
1,b25403eaf41720d58c69f61126ad1880e401&0x8036165ccabee251c886d6121b047c16b5e798b5
1,62cff67f8efd57cb1bc2793dce3f1cf0606b&0x702392282255f8c0993dbbbb148d80d2ef6795b1
0,eb1f2c37645be61d73953035360e768d81e6&0x30b8aa34de6bb2d8b78df05ec1e765d73197e4aa
0,54be79281553dc1adc160ddf5cd9b74361a4&0x0acda4470b4d144fe4e90e2feea326474d0a284e
0,f80c6687f4f6811e2c30023a3419410ff482&0xc7af99fe5513eb6710e6d5f44f9989da40f27f26
1,c3e8738b25519c01938ff7e96f17b3666d8d&0xbf91b27fec3146a1b36069f92337a0ea330725df
1,ef1d9659363a9357ab29a05941491accb4ec&0x8da9ccf44fa08f651b71fa76f4ed41796b428f61
0,b64bcd966ffc22351c5d4ac576f6bf6d7e91&0x71c2683152b632fa1d515a3df067825e2b240216
0,2582ca99d8d807a985384066f31eda27256b&0xcc89405e3cfd38412093840a3ac2f851dd395dfb
0,4e263a04853ed0aaade71a3fef0c0e89a0a9&0x6090a6e47849629b7245dfa1ca21d94cd15878ef
0,2949d71d06bcb41b0a7313d6660b4d1b873c&0x6090a6e47849629b7245dfa1ca21d94cd15878ef
1,f644fb736f5903bf49f6b73cf392156ba812&0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678
1,30227ffb28ab49c8bf6fc593c15a4e6ec7c0&0x8a883a20940870dc055f2070ac8ec847ed2d9918
0,a71b1d01849c0a95490cc00559717fcf0d1d&0xd4031d90166c6b185d106d0bae934ede81b3a4b7
1,f8112b2491718855f01a01a60462cc97a0d5&0x53e20b377b3afe2ee6bbefd8e5ebf488ea19560a
1,7c1f0039f5d38770e15f8043b3dd26da5e8f&0xd6dae45309e22aff0987ac8932ed7624b65a4707
0,caab92eea180a756e408e8075882c956175a&0x6090a6e47849629b7245dfa1ca21d94cd15878ef
0,e6c54dbc68db5db3a091b171a77407ff7ccf&0xc65e79aea6b9b53cb9914e44bec041a2b423f221
0,75f648430679a709e98d2b0cb6250d2887ef&0x3a2e7711540d9995e175d28d1a6730e780a110a2
1,e393825ccc50c07447ecc7767278f6318a82&0x9758da9b4d001ed2d0df46d25069edf53750767a
0,b76cc543885c951a4fdaafa53440578d6778&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770
0,b790e05390fc8295f4d3f60332c93bed42e2&0xdc1c8c18693ee92b5235d69b5e7f2045ccbd28fe
1,cf79ade5e2c49b9e30d795517a81e0bf00b8&0xbfc5b6502a084b22b7d1d9a8fe6da3a4eab8abb8
0,544f6c413a555f309bf76260d1e02377c02a&0xa7da84c578f95c55e64a099ffeae78291649899f
0,b011f5fb1cd54489d5348d2d800031e47536&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770
0,0ce9267ed19b22f8cae653f198e3e8daf098&0xc74b4d25c693accf46907511a6c9cd0522f60da3
0,544f6c413a555f309bf76260d1e02377c02a&0xaed3086d4a773632e9012dec1c917206176ef7b4
0,632b854b743013f5aa5ebb03e2992d196b61&0x6090a6e47849629b7245dfa1ca21d94cd15878ef
1,cf79ade5e2c49b9e30d795517a81e0bf00b8&0x11175b599d7d2066a4674c85e55decd2693e9e73
1,c3ce7abc89c0d001c41e194639d6e25ced33&0x9b5bbb16a7a68660f6503eff6c8e3159820d6396
0,ec373c94c862a19df2e176c33fd8c961f7ad&0x6090a6e47849629b7245dfa1ca21d94cd15878ef
0,76443119a942de498590fe1f2454d7d4ac0d&0x3b75afda38954180828b588f009ce97b0177e302
0,c244d798123fde783fcc1c72d3bb8c189413&0x2b0d8470cd14c6ae1f0c4e995644f5bc243adec4
0,69bc84c3d665ef80e6cb5331b7cb9b7fd4d7&0x6090a6e47849629b7245dfa1ca21d94cd15878ef
1,ec5cb64a564d8b5181eb22f6e16eab2b6fea&0x8a883a20940870dc055f2070ac8ec847ed2d9918
0,136a3207b979ff79c88b14fb720895e77013&0x8d12a197cb00d4747a1fe03395095ce2a5cc6819
1,819cb5f207ccce6e1b1a09f32863aafd87cd&0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f
0,5044ac3c0c57051906da938b54bd6557f212&0xb79bbbd23ed706344a135f7c062a49bb8be61d26
1,2431294543f1e7b30d76f7797275cf66dc80&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8
0,785002a39726e23b673e2466f9bb1bd7db76&0x8d12a197cb00d4747a1fe03395095ce2a5cc6819
0,6bb9d22eea583dc7d1843f23323215f4b851&0xb1690c08e213a35ed9bab7b318de14420fb57d8c
0,70a7388c05ee4e7af3d01d8c722b0ff52374&0xf91e5a0ea09eb856f75478b5bae6cf1ebdfb883a
1,c22dc3421d043ecdb1c7b50681d19f572802&0x73d9e7e5aa720d3867449b111b4136cfab83a5bb
0,7bce77c330a0a38925fd22772e3735671179&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770
1,b4e8b470bb152406006b9369a3a68c819956&0xbeefd8fb3b5778f99e021afa2e41e0614af6af11
1,019b7a83b3c77a823255533975969027308d&0x1009d59229c97d224c615153716a8aefb7be822b
1,a06b028526b05966c287370bebefa0082176&0xd9105e9cfd642d2f20f41cc763b91ca4c6ace872
0,089366899d83a9f26a773d59ec7ecf30355e&0x73b065ac5b0be26e71fe859b521636e51c78debd
1,8c29221b3ca1678f1990e262df577e447e5a&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8
1,ce4aef57eb1db331477eaa3a4e8902ac052b&0x4028b9672bfd71ba2fcd97a6c82e06f72eaa14ba
0,f51c888972c908cfacf59b47c1afbc0ab8ac&0x57c5ecd10313af9536c69964485b4f2f98b4c184
1,ea9bca5760ca4dbd475cba220624eda7982d&0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b
1,019b7a83b3c77a823255533975969027308d&0x9cbe5ac3a9fdecb630a3d91169b2d21d6c250c0f
1,a06b028526b05966c287370bebefa0082176&0x05a4e7415671789de4609132b5a046f670d1d0bc
0,363bf0f14a17ba0dc7d9f779a7f38250e82f&0x867ffb5a3871b500f65bdfafe0136f9667deae06
1,b387395a1be65e133c75ff9e5fcc6f756db3&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8
0,a74942484d19584340f31d141c9185dbc0ff&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770
0,15c69acca383ca8f1fd4b66781e6aee30ebb&0x867ffb5a3871b500f65bdfafe0136f9667deae06
0,70fdbe2ba4cf95131626614a1763df805b9e&0xc8f32bb260c9dc88979fd73b1206b8c76988832a
0,e42d4b4ca47fdc9528a64066a0944a6d1374&0x6090a6e47849629b7245dfa1ca21d94cd15878ef
1,379d794adf0854e254899086475c1bee37ce&0x8a883a20940870dc055f2070ac8ec847ed2d9918
1,3bad5463ce82ee91a1cc86be9ec1f42bd941&0x001f52daa8a4f7b9b26da16baf449c0d270dbe63
1,857f69919aecddba77136364bb19108b4891&0x7e0529eb456a7c806b5fe7b3d69a805339a06180
0,117b3420d9fe5aea9b692e5d6a2f2c56a5e1&0x6c8f2a135f6ed072de4503bd7c4999a1a17f824b
0,db70439776dca1f387251f459bfcd55cad8d&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770
1,f9d4b7b8977e741bd93e5110114c77e314a3&0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f
0,9d02074f9ec98a806169e797e0c389682452&0xaaab2ec23dd5dd9602e631b8399fa94c9d134b3a
1,e824e08b78eef93a58108b13497104637122&0x8036165ccabee251c886d6121b047c16b5e798b5
0,544f6c413a555f309bf76260d1e02377c02a&0xc24bcc83adcdbe06e4e89265991f920476ac5e4c
1,f715dfc56a10bdd5b60fdbc1ad45a261b98b&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8
0,6aa16e3f99ba7a450df2dff9279f6fad9c17&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770
1,de961ca01bbaea3e0b347141cd1ed8f10c36&0xa379bbdd0af814502eb9b38d475c7fa7411bb4ec
0,cdba33f50e1d570c80dd4390db38837ff830&0x4ba72f0f8dad13709ee28a992869e79d0fe47030
0,be193a6abca9c8817001f45744777db30756&0x48c3da2c56643608f6a5b8e80b235a5954df861b
0,dae83a43d3167c91a86443af7a4de15ecfe8&0x8d12a197cb00d4747a1fe03395095ce2a5cc6819
1,08b1291d4307652592c29bff7d51f1ad83d7&0x5713341e00ab119ef5390f1c32f4019eae29db78
0,8f5092ecdfb1d4c2874271acb39d24e26f4e&0x6090a6e47849629b7245dfa1ca21d94cd15878ef
0,4ebfb5a8ee9133fcb7c11f03fdd65d6c6e29&0x867ffb5a3871b500f65bdfafe0136f9667deae06
1,f014c98320eab524ae16b0aaf1603f4dc01d&0x0a09bc7febfe50b3ecc595dc7ab1e82a0e13d011
1,3a20940870dc055f2070ac8ec847ed2d9918&0xc00d1de558e658bfbb6668d0dd9aec475dab2478
0,fcea7c692606e8908002e55a582af44ac121&0xdf8efb8a522561ea9bd8c55874dca4536ee5c618
1,b010727b2ce69fca673b3b3fbe0010b3ff85&0xaf6de38ffc92e0d52857f864048d7af2f345a3cf
1,a8a89ed05b1da07399b210f6d86dbff369bd&0xfde889c9354d09cec72845e76a0d9f97f4686f7a
1,4845372fd2f82858bf25dbfa8cec86b7fc5e&0xaf6de38ffc92e0d52857f864048d7af2f345a3cf
1,019b7a83b3c77a823255533975969027308d&0x47874c054a6b3cb140052cd99888177aedf3e25c
1,fd23619e1b73e7621100962afc9a45d83ee8&0x8a883a20940870dc055f2070ac8ec847ed2d9918
0,c244d798123fde783fcc1c72d3bb8c189413&0xa554599b986fabcc88fa77127e18611de9a1a229
1,e31d1eece86c3b07d7d914ca28b7397686e7&0x73d9e7e5aa720d3867449b111b4136cfab83a5bb
1,f45186758206d7bd8c6181fa098a2666dd98&0x9a9de4897646951fb7150cd41d8ed30ba3080237
0,4835f276b6ef2ef0588d0cd736f803a8677e&0x867ffb5a3871b500f65bdfafe0136f9667deae06
0,f0f9ee66dc14c80fb1722319cc979ab4c9b7&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770
1,abad11571c705490c396f2eae3a7b59a778f&0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678
1,8cdf4cb69493c270cec863ecb510a8c2f397&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8
1,3a20940870dc055f2070ac8ec847ed2d9918&0x2270b9a550448c1f1ada937f69438fed86c2522b
0,b95848cc56afe703a76da066c316adaf0cb2&0x2f6321db2461f68676f42f396330a4dc4a8f49df
0,e2718ceb48712aff3a2a27ff7c2d0bdb049c&0x8d12a197cb00d4747a1fe03395095ce2a5cc6819
0,e776880c02933d47db1b9fc05908e5386b96&0x81aa1b6e909414f195579b324ce5838f14bd4fdb
0,e6c54dbc68db5db3a091b171a77407ff7ccf&0xb9e6205be94fc3e4bb8d29517bbf69353132de72
0,7a14b0791a477ecc9f121eb44d6aabc4899b&0x867ffb5a3871b500f65bdfafe0136f9667deae06
0,fada55a64dd895d8c8c35779dd8b67fa8a05&0x390fbfc706db8538164d0d0e2bf2d9f056e21c84
0,37962cbcc0419f7a045f43348436726ba749&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770
1,3700a45df5f035e386a03dde3c29a234721f&0x536a6ba0d913d5d6a4ce2c6eb7ed0de3c0f0b89e
0,10771af9ca656af840dff83e8264ecf986ca&0xa5f07740506bd2dd632f800b3e5dd313a2777aeb
0,3fe3bacffc65e143b3aca8f537ae87c2956b&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770
1,90b146d9fc82589a817012aa157d5963aa61&0x109c4f2ccc82c4d77bde15f306707320294aea3f
1,50c9308c7016957d78e4181d5f25a7284a21&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8
1,a0d397db942a1083a4af9c6074ab63bc8c8b&0xcd8c63bac9a3058e3a86cc3f18b1dbd4538e68e4
0,54d1f836df1758823e75889902ee0b59314b&0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0,6a8c0de7b7b440d32738c97fbf3cbd73f834&0x6090a6e47849629b7245dfa1ca21d94cd15878ef
0,4ddfb89b3c9f24f9217f0a938c7ebc2c2691&0x867ffb5a3871b500f65bdfafe0136f9667deae06
1,ba810fbc8ae799b3c60f9c2689c52c1de8f2&0xbeefd8fb3b5778f99e021afa2e41e0614af6af11
0,33fe9d00101082a052809d4b6e4505f5e7e9&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770
0,f51c888972c908cfacf59b47c1afbc0ab8ac&0x5a1b3783dabedcdc688ca34cb4ecda65802c952b
1,3c0f9a577bf09aab09a82a5d1a4da378b78d&0xbeefd8fb3b5778f99e021afa2e41e0614af6af11
0,fdc0e435ecff1763e21c26fb1cc0598aa6e6&0x6090a6e47849629b7245dfa1ca21d94cd15878ef
1,f77a5c001e98d845b781e4939aa4856a47f4&0x9b5bbb16a7a68660f6503eff6c8e3159820d6396
0,2a2526c124fdc064b1401e72057db093421d&0xe9c1429b0e25e23bece391b03bcebd9b74dff4b1
0,7c2fdbc59eac66489be9fe4ba164dea2475b&0x8d12a197cb00d4747a1fe03395095ce2a5cc6819
0,ff91e4e84395b1bbde52d86346b9d72c351b&0x6090a6e47849629b7245dfa1ca21d94cd15878ef
1,753a4d453aa132da0a20137c95c02e554c45&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8
1,1e821fd26495d0a505a0b91fc0ba5ee0048e&0x4f3db6d4c97b8248ad5e244e4f619086084f6848
1,3c2d8b0fd202d05d94dfb6d9b641274befe9&0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f
1,ec2a2d7e643a7c313f0ebb0431674ee53734&0x73d9e7e5aa720d3867449b111b4136cfab83a5bb
1,aa3b83a3e4e7171d2dd73cdbd8ef5dae4012&0xa379bbdd0af814502eb9b38d475c7fa7411bb4ec
1,8de4c31dee5d0a42a9871c1e5db8fd1dd08f&0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b
0,d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7&0x496940fe2c9c5e70c267c442433c7252e9eca081
0,5b8288086be8c38e23567e684c3740be4d48&0x13c44c28ee2473091b0d885014a9293e8411faec
1,ffcb22773a854c0467b2c05f1b5427133be8&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8
0,19672ca4e554a107fb4a9be29dc0a08ec767&0x6090a6e47849629b7245dfa1ca21d94cd15878ef
1,9a03244114a5a9118ad85c2427867ae9aeca&0x8a883a20940870dc055f2070ac8ec847ed2d9918
1,a06b028526b05966c287370bebefa0082176&0x96f6c483cced134744804cd4d1c9f6575461b97a
0,21aa9a302f6a148963138472126dd9262630&0x2f6321db2461f68676f42f396330a4dc4a8f49df
0,4fa29d6553afd69e6a9d2e8e722fd3f7b1b2&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770
0,bacdb43fb74d8e6445227b95ab11cc7fddb2&0x55d34b686aa8c04921397c5807db9ecedba00a4c
1,e5f090b5bf81bc8013129ae7c3e53755ffe3&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8
0,ea43baa3f7a6f765f14f10a1a1b08334ef45&0x446daaefb6f1b2b39a02816c3e2933cbe26a172d
1,5aa45cc756430151bf460a647a33ec2c057d&0xcff9cb72d19c10df754ae7be6d280e379cdb2354
1,7785a421289fbd2b614d801319892ca08424&0x8a883a20940870dc055f2070ac8ec847ed2d9918
1,cf79ade5e2c49b9e30d795517a81e0bf00b8&0x74307560495e3dc6d25576fa36e52a6d82c1f73b
0,27d07fc17907b4db788e5adf2ed424addff6&0xdd61ff8a588c28fe09b587e249e9802b63424da5
1,9f8c869022301d9cf7b968db7b4fc2b12216&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8
1,6c1894ddb94d619d12c30fb90150ff32ea46&0xf8f04b23dace12841343ecf0e06124354515cc42
0,5609a7b84e8842732deb08f56c3e21ac6f8a&0x4176282096bb9e2205f6b41d2efbb6ba9fddf130
0,340bf6086346a57ae21d5e55ab1a04957a19&0xaaab2ec23dd5dd9602e631b8399fa94c9d134b3a
0,a012705cace3f8013f937e885a721015150d&0x6090a6e47849629b7245dfa1ca21d94cd15878ef
1,cf79ade5e2c49b9e30d795517a81e0bf00b8&0x7dbbc284f202b06b8386ff8af96a07a7f30f387f
1,025ce6322a23ac00301c714f4f42895c9818&0xb547027a4ccd46ec98199fa88aaedf5aa981db26
1,981b217ab7294caf5b2f999796a333bfba14&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8
0,4b686aa8c04921397c5807db9ecedba00a4c&0xdd9dc8c898c90e920b030ead4679da5d9b9645a7
0,cf4022f38ba33b5eabd7d7352112ab3972cd&0x6090a6e47849629b7245dfa1ca21d94cd15878ef
1,228bed012449c4128a14b78800f5b71b5361&0xbeefd8fb3b5778f99e021afa2e41e0614af6af11
0,84ba568740f1d1a5ce2098f8877a33929ec0&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770
1,2c19bc6df9e32b482e2f9ad6c078001088b1&0x80e4f014c98320eab524ae16b0aaf1603f4dc01d
0,f6e92f04b32ecdd5340dc148b8c46b2168e3&0x867ffb5a3871b500f65bdfafe0136f9667deae06
1,99343d4610b5ddf6d7e7f41425087ba59c4c&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8
0,f133e6deebe7f2dce5a0441aa7ef330b4e53&0xa56459d2773bd4ebbb07aacd80fd487557471036
1,10b2877cf2e8ec1e6c41d99d7f123a9218b4&0x8a883a20940870dc055f2070ac8ec847ed2d9918
0,0d42996017fce214b21607a515da41a9e0c5&0xf7517d5490a7da3c0493888d5d94a1b49f462ac9
0,66860c38f6ade342b56b9eaaf3280a5df3d5&0x2f6321db2461f68676f42f396330a4dc4a8f49df
0,61f1dd287009de75102123447956c6243a71&0x867ffb5a3871b500f65bdfafe0136f9667deae06
1,3a20940870dc055f2070ac8ec847ed2d9918&0xfd33257942a4b9fa66a8d2d46d784df401d91631
0,fdbd70ae69a7f269fd6dd20609e122599c05&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770
1,cf79ade5e2c49b9e30d795517a81e0bf00b8&0x2d9aca11e34e2dd0a1089a3ad0196824c16bdf5b
1,44efd06b7ef98cd6517b27f7eedd781766fd&0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f
0,5609a7b84e8842732deb08f56c3e21ac6f8a&0xf3f2f2053dd55b90adef5429136ad2ce9c7f7bee
1,89ce4c615b5f69523a740df73d80872dbdf1&0x536a6ba0d913d5d6a4ce2c6eb7ed0de3c0f0b89e
1,27944e14c417b299b3c0a6a8dd7a294ef9c7&0xfde889c9354d09cec72845e76a0d9f97f4686f7a
1,cf79ade5e2c49b9e30d795517a81e0bf00b8&0x6a77ca15715bb32f087c277d7a681a0f8baff927
1,d7765b51280ddbeb1c2cdb7028d4751de34a&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8
1,cf79ade5e2c49b9e30d795517a81e0bf00b8&0x210361dab172c028386fc18a46bad44908a351fd
0,ede482f825fb9cccce8f0fe089f0379eaa2a&0x1c42efd260299834b99969436419d4f1cbd7ee14
1,1a2cad2da67a0a3c21874c9888071aaae568&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8
0,be6f13a1182e4a4b6140cb7bf2025d28e41b&0xbd099bbef28e489125fbf24a5fd9614db45b6612
1,c10b74a260f46ab5cf881938c5888a6142df&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8
0,5b2847f07383417937f2f51ff65fc8938c90&0x8d12a197cb00d4747a1fe03395095ce2a5cc6819
0,f912c6e6a988072a2c1cc6a772c720257317&0x6090a6e47849629b7245dfa1ca21d94cd15878ef
1,5faad1e3dad266c4e33020d1be0277018b6c&0xb547027a4ccd46ec98199fa88aaedf5aa981db26
1,60ec03637bafdd4407617a5f56dbca29205e&0x536a6ba0d913d5d6a4ce2c6eb7ed0de3c0f0b89e
1,e964a2c8cfbd3f039c070c454093b3738c65&0x8a883a20940870dc055f2070ac8ec847ed2d9918
0,b043dfd265ddd36b1fe18c9f44e92ecc2ba4&0x867ffb5a3871b500f65bdfafe0136f9667deae06
1,64e4883fc08bed10eec8e1899f0d24e4a4fc&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8
1,b80ed54f04a62dbcbf14a6828eb3dead19ee&0xe1c9a03cf690256ff7738cbd508c88cf5238a535
0,325c52c6d34b054794f404785c90dd15b0c6&0x867ffb5a3871b500f65bdfafe0136f9667deae06
0,e39e50ae2410cabb413f278fa661d0be5c0b&0x6090a6e47849629b7245dfa1ca21d94cd15878ef
0,845415b880b309c078ef2c46bc70994c7a6e&0x6090a6e47849629b7245dfa1ca21d94cd15878ef
0,e30c12663804b3819b77a4dffd1063301017&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770
1,aafd5cbda01117e6af91b07bd049379922be&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8
0,48a5c926c136b742552bced4ad3bc18156c4&0x6090a6e47849629b7245dfa1ca21d94cd15878ef
0,5d9413d9e597c44b3ee829ab423cf902771e&0x6090a6e47849629b7245dfa1ca21d94cd15878ef
0,95c464c28f45f5314df81039633aee67e264&0x459f7854776ed005b6ec63a88f834fdab0b6993e
0,6c4d852dff38d17a7961cfc190b7c366b517&0x867ffb5a3871b500f65bdfafe0136f9667deae06
1,bef2ef905eaebf2779c9e6ab04c295e76678&0x536a6ba0d913d5d6a4ce2c6eb7ed0de3c0f0b89e
1,f8112b2491718855f01a01a60462cc97a0d5&0x0d382bb2aeb8ec4b8f4b3d32cf30e28d4be6034a
1,cf79ade5e2c49b9e30d795517a81e0bf00b8&0x89ab3faf5b3c9d56f7a028afa0020d66a862989b
0,99fe5513eb6710e6d5f44f9989da40f27f26&0x02c85680a4f9c5f5318adc782ad65dfabcab592b
1,fa06977e70216f1869d37086fdcb0764eca0&0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f
1,a1d0f004e6340155565d77e6349c90a55321&0xf8f04b23dace12841343ecf0e06124354515cc42
0,5609a7b84e8842732deb08f56c3e21ac6f8a&0xe5c43eef505d00be99ab73e1fe5a2316ae4a998e
1,f68f814bd3e14630c851042d0e8f666625e6&0x8a883a20940870dc055f2070ac8ec847ed2d9918
1,cf79ade5e2c49b9e30d795517a81e0bf00b8&0x9c6c1eab0f439db9cfd103b53d99f4e6c63542d4
1,cf79ade5e2c49b9e30d795517a81e0bf00b8&0xcb7bcd1a03419c4f9a9b9446182a5e8e0de01711
1,2794e02c72b6cf0b3674c0f9f80dabd0c023&0x8a883a20940870dc055f2070ac8ec847ed2d9918
1,6e74be767cd9722cdf4a4ca08c6910012b0a&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8
1,725d3dbf52a34958050ab236defd5e4e12e1&0x8da9ccf44fa08f651b71fa76f4ed41796b428f61
1,57a12aff45a07a8ebefc8fb2e520761b2534&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8
0,244b988a513c945973defa05de933b23fe1d&0x87aff98fbc8ff5d56b70235259f3bc7f1d6d9bc9
1,a67a28ad5642f11b3dbf0e61e9de0b7a2b37&0x8a883a20940870dc055f2070ac8ec847ed2d9918
1,ab61cae89899217633eb188d0c8adb76a1aa&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8
1,04bb8de94ffd8c654b2c59fc554bd8c761c7&0x43bbc7fafb860d974037b8f7dd06b6f6fe799b3e
0,2fb29fb7d3cfee444a200298f468908cc942&0x43785c903a7994bd1e0f80d221371774eca4cd91
1,cf79ade5e2c49b9e30d795517a81e0bf00b8&0xc695220a15a8443deb1395a3d7853c63f76933b6
